student_id,first_name,last_name,grade_level,class_period,quiz1,quiz2,midterm,project,final_exam,attendance_pct
S2067,Lukas,Harris,11,1,95.9,100.0,98.9,100.0,100.0,96.4
S2068,Jack,Dvorak,10,4,88.6,53.1,70.5,74.1,63.0,90.0
S2069,Nina,Dvorak,11,6,87.9,80.6,77.4,88.4,82.3,88.0
S2070,Ivy,Ali,11,3,83.6,100.0,98.0,100.0,99.2,99.2
S2071,Jonas,Clark,12,6,78.0,71.1,91.1,76.9,75.3,92.7
S2072,Ava,Martinez,10,6,85.3,100.0,88.4,92.2,90.9,90.9
S2073,Mateo,Walker,11,5,75.4,69.0,72.7,74.8,81.0,87.4
S2074,Elena,Jackson,9,3,91.8,77.8,76.4,71.9,59.6,88.3
S2075,Emma,Taylor,12,2,75.3,54.0,78.8,81.3,49.6,88.8
S2076,Ava,Martinez,12,2,92.8,90.0,79.5,95.0,82.0,90.6
S2077,Jack,Walker,9,2,51.6,54.0,67.0,57.1,66.8,100.0
S2078,Liam,Dvorak,10,1,56.1,39.8,35.5,59.6,35.7,88.9
S2079,Owen,Lee,12,5,70.8,94.2,81.7,82.7,83.4,85.3
S2080,Zara,Havel,10,6,79.2,72.8,84.7,81.9,86.4,92.2
S2081,Adam,Hall,10,1,61.4,63.4,64.4,64.3,60.2,90.6
S2082,Amelia,Smith,12,3,77.2,65.4,67.3,70.8,75.8,88.7
S2083,Adam,Taylor,12,4,91.8,87.9,87.3,96.5,82.2,90.4
S2084,Oliver,Jackson,9,5,70.4,75.5,88.0,72.4,77.7,100.0
S2085,Theo,White,10,6,94.8,99.8,97.1,100.0,100.0,100.0
S2086,Ryan,Clark,12,2,79.7,81.8,89.8,100.0,100.0,96.4
S2087,Isabella,Walker,11,6,93.4,90.6,83.8,84.9,78.0,91.1
S2088,Grace,Patel,11,1,76.8,73.3,67.1,70.7,70.1,87.6
S2089,Amelia,Moore,10,4,96.8,100.0,100.0,100.0,86.9,82.7
S2090,Caleb,Johnson,12,1,100.0,100.0,100.0,100.0,100.0,91.0
S2091,Emma,Walker,10,4,54.2,60.4,72.2,60.2,67.7,84.2
S2092,Aria,Svoboda,11,1,83.6,94.4,92.8,100.0,86.5,98.9
S2093,Ruby,Smith,10,6,59.5,66.2,52.1,53.7,66.4,97.3
S2094,Zara,Patel,10,2,74.5,78.1,73.2,84.1,81.4,93.3
S2095,Ethan,Martinez,9,2,100.0,100.0,100.0,100.0,90.4,93.3
S2096,Aria,Moore,12,3,71.8,84.0,74.5,78.6,63.6,80.9
S2097,Ava,Svoboda,9,1,100.0,99.5,92.9,100.0,97.2,90.9
S2098,Ella,Walker,10,3,60.0,60.2,60.6,58.6,63.6,91.8
S2099,Grace,Garcia,10,4,76.3,67.4,72.2,66.0,75.7,90.1
S2100,Ruby,Dvorak,12,1,87.1,80.1,85.2,99.8,89.7,85.5
S2101,Dylan,Wilson,9,4,53.2,66.0,50.2,72.5,67.2,93.0
S2102,Ruby,Harris,10,2,81.8,64.2,83.2,64.8,66.3,100.0
S2103,Ava,Taylor,9,5,100.0,95.1,90.0,97.0,96.8,92.7
S2104,Theo,Harris,12,1,90.9,92.2,100.0,96.0,100.0,100.0
S2105,Mia,Harris,9,1,90.1,84.9,96.7,95.6,89.4,95.0
S2106,Adam,Smith,9,3,61.9,68.7,68.0,67.7,77.0,90.5
S2107,Daniel,Wilson,11,2,83.7,69.7,76.2,79.5,82.2,92.4
S2108,Jack,Klein,11,1,65.3,69.4,67.9,64.8,68.7,87.9
S2109,Emma,Johnson,9,4,79.3,96.5,74.0,100.0,97.8,95.2
S2110,Noah,Hall,12,5,94.4,100.0,99.2,100.0,95.7,92.9
S2111,Ethan,Havel,11,3,70.1,74.4,74.8,60.5,61.4,94.5
S2112,Theo,Garcia,12,4,83.6,66.4,68.4,62.8,60.6,82.2
S2113,Grace,Lewis,12,1,52.4,60.2,65.4,65.0,63.5,94.9
S2114,Lukas,Lee,11,1,62.8,46.9,60.1,59.7,48.1,98.7
S2115,Zara,Chen,10,3,64.8,70.5,52.0,69.7,65.3,98.3
S2116,Jonas,Chen,10,6,65.5,62.8,71.9,66.7,71.4,90.1
S2117,Nina,Taylor,11,1,74.1,83.4,57.1,77.0,71.6,90.1
S2118,Hannah,Lewis,10,3,68.4,73.2,72.2,74.1,72.1,91.6
S2119,Amelia,Havel,10,6,69.2,74.0,71.3,60.3,63.3,100.0
S2120,Ivy,Chen,10,3,94.9,100.0,97.8,100.0,98.5,93.4
S2121,Jack,Ali,11,5,97.2,88.9,74.6,97.2,96.9,97.9
S2122,Noah,Ali,10,4,57.6,61.9,81.0,63.2,42.7,93.8
S2123,Sofia,Moore,12,4,80.4,79.9,80.1,64.3,64.6,87.8
S2124,Ava,Lewis,12,3,61.5,69.9,86.8,74.3,90.7,98.5
S2125,Nina,Ali,12,1,88.0,87.9,85.6,83.2,85.0,88.6
S2126,Mateo,Harris,10,1,69.5,77.6,78.9,87.1,72.9,92.0
S2127,James,Brown,12,4,59.1,65.7,70.9,49.8,49.4,96.5
S2128,Mason,Taylor,11,1,82.5,100.0,100.0,94.4,90.8,94.5
S2129,Ethan,Wilson,10,6,82.4,78.4,94.1,100.0,99.8,90.2
S2130,Owen,Harris,9,4,84.9,80.0,72.3,86.3,82.1,89.3
S2131,Mateo,Svoboda,11,2,88.5,94.5,85.3,95.1,83.6,94.2
S2132,Oliver,Chen,12,1,79.0,85.2,74.4,89.6,77.8,93.5
S2133,Liam,Dvorak,10,3,60.3,72.2,75.0,83.8,61.9,96.0
S2134,Zara,Anderson,10,4,68.6,78.7,76.3,55.0,82.6,94.2
S2135,Max,Thomas,11,3,93.8,86.7,83.5,86.5,91.6,91.5
S2136,Maya,Garcia,12,3,68.1,55.0,67.6,61.6,56.7,100.0
S2137,Grace,Ali,12,1,78.9,86.8,85.0,93.8,93.1,90.1
S2138,Liam,Young,12,1,70.9,63.8,66.8,63.8,53.2,87.2
S2139,Ethan,Lee,9,3,90.3,69.4,50.2,77.3,80.6,94.5
S2140,Amelia,Walker,10,6,60.8,70.7,80.1,83.7,77.5,89.0
S2141,Natalie,Novak,10,6,79.2,73.9,92.9,70.1,63.5,95.2
S2142,Ryan,Wilson,11,5,65.5,66.9,63.4,59.4,72.7,95.6
S2143,Ruby,Moore,12,4,78.4,69.4,84.4,75.8,94.0,100.0
S2144,Max,Wilson,10,2,55.2,58.0,61.1,58.5,69.0,95.4
S2145,Elena,Garcia,11,1,76.8,77.7,91.2,85.0,82.6,90.5
S2146,Dylan,Rodriguez,10,6,73.2,70.4,59.2,66.8,63.7,87.1
S2147,Isabella,Klein,10,5,63.3,60.1,83.9,58.6,66.5,86.0
S2148,Max,Nguyen,12,1,79.3,72.3,77.4,78.5,67.9,88.2
S2149,Mila,Johnson,10,3,75.9,68.6,74.1,89.3,78.7,93.1
S2150,Natalie,Novak,10,2,84.4,97.5,100.0,68.6,85.5,92.4
S2151,Ryan,Klein,9,4,53.1,54.3,50.0,56.3,39.2,94.0
S2152,Ruby,Klein,9,1,43.7,52.3,64.1,59.9,56.4,91.8
S2153,Hannah,Anderson,9,4,78.3,56.0,53.9,66.3,56.2,90.2
S2154,Jonas,Hall,11,2,82.5,88.6,91.2,85.3,87.9,91.5
S2155,Natalie,Martin,10,3,93.6,92.1,77.2,81.1,85.5,87.6
S2156,Maya,Thomas,11,4,65.3,70.2,72.6,79.0,67.1,86.6
S2157,Mila,Harris,12,3,89.5,96.2,87.8,100.0,100.0,94.1
S2158,Mia,Johnson,12,2,77.1,83.4,87.5,75.3,83.1,86.0
S2159,Aria,Young,12,6,74.3,80.5,70.5,58.7,83.7,86.6
S2160,Ruby,Klein,11,5,55.5,64.5,59.1,77.6,75.8,91.7
S2161,James,Patel,10,3,72.9,68.8,77.7,84.1,70.4,90.9
S2162,Oliver,White,12,4,85.0,83.8,97.3,78.2,90.7,94.4
S2163,Ivy,Brown,12,2,78.0,90.9,95.5,89.5,84.8,100.0
S2164,Ryan,Martinez,10,1,88.5,99.4,100.0,95.4,87.1,85.6
S2165,Zara,Johnson,10,3,68.9,65.1,70.3,78.9,57.0,94.8
S2166,Dylan,Thomas,10,1,90.5,100.0,84.4,92.3,87.9,81.3
S2167,Ella,Dvorak,9,3,68.0,88.2,71.9,84.8,80.6,87.4
S2168,Isabella,Lewis,10,6,79.6,71.7,60.5,74.2,65.7,96.2
S2169,Ben,Harris,12,5,83.5,57.7,78.8,87.5,77.1,100.0
S2170,Isabella,Jackson,11,3,72.6,73.7,74.8,88.3,83.0,100.0
S2171,Jonas,Ali,11,6,100.0,100.0,100.0,100.0,100.0,91.1
S2172,Nina,Wilson,12,6,62.7,65.5,69.5,66.0,47.1,85.8
S2173,Theo,Walker,12,5,75.6,68.0,73.0,74.7,73.5,91.4
S2174,Dylan,Chen,12,1,71.0,65.1,65.8,68.2,70.1,82.3
S2175,Ethan,Anderson,12,6,92.6,81.8,69.5,84.3,81.2,85.7
S2176,Grace,Hall,9,1,95.8,97.9,100.0,92.3,71.1,92.3
S2177,Zara,Anderson,12,4,100.0,88.4,82.7,86.7,84.2,87.6
S2178,Liam,Lewis,12,5,91.1,100.0,100.0,100.0,100.0,97.3
S2179,Maya,Brown,10,2,84.5,71.7,70.6,71.6,63.4,96.8
S2180,Mia,Harris,10,1,74.2,91.8,84.4,80.3,83.9,86.6
S2181,Amelia,Hall,9,2,57.7,64.1,78.8,69.5,62.7,96.3
S2182,Ruby,Martinez,10,6,74.5,55.9,58.5,72.4,76.3,92.0
S2183,Ryan,Brown,9,3,88.7,90.3,96.1,88.2,100.0,94.0
S2184,Oliver,Smith,10,3,82.7,75.2,85.5,77.2,79.5,91.3
S2185,Lukas,Walker,11,6,95.8,91.6,88.5,89.3,98.7,88.7
S2186,Mia,Young,9,2,79.1,85.0,97.0,75.5,96.0,91.3
S2187,James,Nguyen,10,6,100.0,100.0,100.0,100.0,100.0,89.3
S2188,Theo,Young,12,5,83.1,58.3,72.5,68.9,55.7,86.4
S2189,James,Garcia,10,3,67.9,85.9,79.6,74.1,72.3,98.4
S2190,Natalie,Lee,10,3,88.8,88.2,81.4,91.0,75.5,93.2
S2191,Lukas,Lewis,10,6,72.1,86.6,73.8,78.9,76.2,91.9
S2192,Sofia,Thomas,9,6,86.8,83.0,82.4,84.9,89.2,97.6
S2193,Lily,Clark,12,6,76.3,71.1,75.8,81.1,76.8,92.3
S2194,Isabella,Lee,10,1,100.0,89.6,97.1,91.7,86.1,93.4
S2195,Ruby,Martinez,10,6,72.4,90.9,75.4,97.8,91.1,97.2
S2196,Ivy,Young,9,6,85.4,87.3,75.0,89.9,82.3,87.7
S2197,Dylan,Jackson,9,2,78.6,90.0,91.1,100.0,83.6,97.3
S2198,Leo,Taylor,9,2,85.2,86.9,75.2,87.9,89.5,99.5
S2199,Mason,White,10,5,80.2,82.6,78.3,93.0,81.3,96.6
S2200,Chloe,Clark,11,1,89.5,78.8,80.6,97.0,86.5,99.1
S2201,Emma,Martin,12,4,83.2,76.5,79.6,90.7,77.7,90.7
S2202,Ben,Ali,9,1,72.7,73.3,84.7,97.5,90.8,93.6
S2203,Jonas,Clark,11,1,86.0,82.7,85.0,86.7,87.1,87.0
S2204,Liam,Havel,11,4,79.3,70.1,82.1,94.8,100.0,94.5
S2205,Emma,White,10,3,76.5,68.5,82.1,87.8,81.2,97.9
S2206,Ben,Dvorak,12,5,68.7,56.1,76.0,58.9,77.1,93.4
S2207,James,White,12,6,99.7,86.1,90.5,100.0,79.1,87.8
S2208,Zara,Jackson,12,5,92.2,67.8,91.9,85.0,100.0,91.3
S2209,Natalie,Garcia,9,6,61.9,55.8,46.8,66.4,53.0,89.2
S2210,Jack,Anderson,11,2,81.0,70.0,82.6,77.4,74.7,88.7
S2211,Mila,Chen,9,3,62.8,72.4,69.6,62.2,60.6,83.8
S2212,Ben,Ali,12,3,90.8,81.6,90.2,86.4,85.7,96.9
S2213,Ella,Lewis,12,4,80.2,81.1,77.0,62.6,85.9,88.4
S2214,Amelia,Chen,10,3,80.7,67.4,77.7,80.4,70.4,94.5
S2215,Ruby,Johnson,9,1,84.4,91.2,84.6,86.7,88.7,91.7
S2216,Lily,Nguyen,12,2,92.4,71.5,88.2,84.5,73.6,95.8
S2217,Noah,Lee,9,6,68.2,70.4,75.6,81.9,81.0,90.4
S2218,Aria,Thomas,9,3,70.1,64.2,74.8,74.1,74.0,97.2
S2219,Ava,Wilson,10,6,73.3,76.1,76.3,72.8,77.6,91.4
S2220,Leo,Martinez,12,4,68.9,48.5,58.6,67.1,60.2,87.9
S2221,Ruby,Wilson,11,2,77.3,97.8,88.3,100.0,99.5,85.7
S2222,Chloe,Brown,12,4,66.2,72.8,72.4,72.2,64.2,96.1
S2223,Grace,Anderson,11,2,72.9,69.6,77.4,76.9,87.3,93.8
S2224,Oliver,Ali,9,6,75.3,67.6,65.2,74.9,68.9,85.7
S2225,Lily,Havel,9,4,77.5,80.5,69.4,88.9,73.0,94.3
S2226,Dylan,Rodriguez,10,2,82.8,80.0,78.8,85.0,79.7,87.4
S2227,Theo,Lewis,9,2,87.8,100.0,95.8,100.0,94.1,100.0
S2228,Isabella,Wilson,10,6,65.5,71.5,75.7,80.3,60.5,88.3
S2229,Aria,Moore,11,6,86.7,100.0,88.9,89.6,75.6,97.2
S2230,Mateo,Taylor,11,1,78.8,73.5,80.5,79.1,89.6,100.0
S2231,Aria,Novak,12,3,96.8,92.8,91.4,96.0,90.0,99.7
S2232,Nina,Ali,12,2,100.0,100.0,93.4,100.0,100.0,96.1
S2233,Mateo,Taylor,10,1,65.0,64.7,61.2,82.8,71.9,91.9
S2234,Liam,Svoboda,10,5,65.1,84.4,76.3,81.2,79.1,89.9
S2235,Ivy,Taylor,9,1,77.6,71.9,70.6,86.3,75.8,98.6
S2236,Nina,Hall,9,5,60.7,73.0,75.0,64.4,53.2,91.8
S2237,Ruby,Thomas,9,2,90.2,74.3,77.7,72.6,76.2,83.4
S2238,Emma,Martinez,11,6,97.6,98.0,99.4,99.8,100.0,95.4
S2239,Dylan,Johnson,12,1,85.3,88.1,84.9,88.7,92.4,100.0
S2240,Sofia,Clark,11,5,66.3,69.5,67.3,65.7,68.3,100.0
S2241,Nina,Klein,12,5,66.4,68.3,85.0,82.2,78.2,93.6
S2242,Amelia,Martin,9,5,100.0,94.1,96.9,98.3,93.8,95.5
S2243,Zara,Patel,12,6,100.0,93.3,93.8,97.2,90.3,93.4
S2244,Chloe,White,9,6,79.3,66.4,77.6,82.2,87.0,88.4
S2245,Sofia,Martinez,9,1,70.7,82.9,72.1,72.1,74.6,89.1
S2246,Adam,Brown,10,3,82.9,100.0,100.0,100.0,95.7,98.9
S2247,Daniel,Dvorak,9,4,76.3,75.6,69.3,71.8,55.8,98.5
S2248,Ivy,Chen,10,4,79.0,94.0,95.0,92.6,88.4,96.0
S2249,Amelia,White,12,1,89.3,99.3,96.6,87.8,96.0,93.6
S2250,Jack,Novak,10,4,56.1,58.9,53.1,72.4,59.9,100.0
S2251,Owen,Smith,10,5,52.9,78.0,70.8,83.6,61.1,100.0
S2252,Grace,Lee,10,4,73.6,87.0,85.3,84.2,69.5,100.0
S2253,Oliver,Walker,9,5,80.8,77.0,81.2,92.8,83.6,93.8
S2254,Ava,Patel,11,4,77.1,73.4,70.5,68.3,56.7,91.3
S2255,Leo,Clark,10,4,62.0,68.0,71.8,68.5,69.3,80.4
S2256,Amelia,Rodriguez,11,6,71.5,80.8,80.2,74.8,84.3,95.3
S2257,Sofia,Lewis,10,1,97.5,100.0,100.0,100.0,94.2,87.1
S2258,Ethan,Smith,10,2,66.7,91.6,89.6,91.9,83.2,88.4
S2259,Isabella,Martinez,12,2,94.1,100.0,100.0,100.0,97.7,93.9
S2260,Emma,Moore,9,4,79.4,71.3,90.3,83.6,76.1,93.7
S2261,Caleb,Clark,11,4,67.2,69.3,71.9,78.2,61.8,96.8
S2262,Theo,Thomas,9,4,78.0,85.6,72.5,75.0,80.1,87.5
S2263,Owen,Brown,10,1,100.0,80.9,90.7,100.0,92.5,100.0
S2264,Zara,Havel,10,3,45.4,65.2,53.2,64.5,55.5,92.3
S2265,Noah,Lewis,10,5,77.1,70.7,66.6,77.7,72.8,88.8
S2266,Noah,Clark,12,5,75.7,76.6,86.4,96.1,77.5,96.1
S2267,Ivy,Walker,10,3,67.3,77.7,68.8,73.4,59.2,95.5
S2268,Natalie,Moore,11,1,59.9,59.8,66.8,78.3,80.0,91.2
S2269,James,Garcia,11,2,67.7,65.2,81.1,73.8,63.9,98.3
S2270,Mila,Brown,10,6,90.6,97.9,85.6,100.0,100.0,84.3
S2271,Hannah,Lee,9,4,100.0,100.0,100.0,100.0,100.0,94.1
S2272,Leo,Hall,9,3,92.6,84.9,83.8,87.5,90.4,87.8
S2273,Ben,Svoboda,12,4,95.5,87.3,73.8,85.5,77.9,86.3
S2274,Nina,Dvorak,9,3,91.2,90.6,85.4,100.0,97.2,96.6
S2275,Ruby,White,12,6,100.0,100.0,100.0,100.0,100.0,98.3
S2276,James,Lewis,11,6,79.1,79.7,75.7,80.5,86.5,99.2
S2277,Oliver,Svoboda,12,2,70.0,82.0,85.5,90.4,76.3,84.1
S2278,Ava,Harris,12,2,71.8,66.1,74.7,81.3,64.0,93.6
S2279,Caleb,Jackson,9,1,73.3,64.8,65.2,55.6,67.8,85.8
S2280,Mila,Garcia,12,5,95.2,84.8,78.3,97.1,78.6,100.0
S2281,Ava,Lewis,9,4,91.9,100.0,100.0,100.0,100.0,100.0
S2282,Adam,Clark,11,3,100.0,93.4,100.0,97.2,100.0,97.5
S2283,James,Walker,12,1,66.0,87.5,65.6,73.5,71.1,85.8
S2284,Isabella,Chen,11,4,73.0,82.4,87.2,80.3,72.7,87.9
S2285,Natalie,Walker,12,3,77.5,71.7,80.9,79.3,68.8,89.1
S2286,Mia,Young,9,2,100.0,100.0,100.0,100.0,100.0,84.2
S2287,Ivy,Hall,12,6,65.3,64.5,61.3,66.0,56.4,91.8
S2288,Aria,Wilson,9,2,81.5,74.1,96.4,98.0,86.4,95.0
S2289,Max,Havel,12,6,100.0,76.0,99.4,86.3,93.9,93.3
S2290,Daniel,Jackson,11,6,80.9,87.2,69.1,83.1,85.5,94.6
S2291,Adam,Brown,10,3,55.9,64.6,60.3,71.4,71.6,100.0
S2292,Aria,Klein,11,5,79.4,74.0,84.4,79.0,85.3,100.0
S2293,Owen,Martinez,12,5,78.0,83.7,99.3,92.2,87.3,88.0
S2294,Emma,Hall,9,3,91.0,91.4,79.3,97.3,99.9,95.5
S2295,Lukas,Taylor,9,5,70.5,64.4,71.3,80.7,67.0,93.7
S2296,Ruby,Havel,10,3,74.1,84.2,67.4,63.5,72.9,84.4
S2297,Daniel,Ali,11,1,49.8,73.6,49.6,70.6,53.0,92.0
S2298,Elena,Taylor,10,6,82.3,78.6,81.1,88.1,87.0,96.7
S2299,Noah,Dvorak,9,4,83.8,86.8,90.3,90.7,83.9,96.3
S2300,Theo,Moore,12,5,100.0,100.0,100.0,91.3,100.0,99.2
S2301,Lily,Moore,9,1,61.1,77.2,83.1,75.4,67.3,94.0
S2302,Ivy,Smith,12,4,65.9,64.5,48.9,80.6,60.2,99.2
S2303,Ethan,Lewis,9,6,100.0,96.3,100.0,96.3,98.2,94.5
S2304,Natalie,Ali,9,3,89.5,80.2,94.1,100.0,100.0,87.0
S2305,Leo,Patel,10,2,100.0,100.0,97.3,100.0,90.4,90.0
S2306,Maya,Chen,11,6,72.3,73.5,75.8,87.5,75.8,95.7
S2307,Owen,Jackson,9,4,83.1,75.5,84.8,82.9,73.7,92.9
S2308,Noah,Thomas,11,5,70.0,71.6,68.6,76.8,74.9,94.1
S2309,Ryan,Dvorak,10,3,99.4,94.3,96.0,91.9,79.5,89.8
S2310,Owen,Hall,10,1,89.0,66.1,85.2,88.0,81.4,98.0
S2311,Theo,Johnson,11,6,89.7,91.1,93.4,100.0,93.9,91.4
S2312,Chloe,Hall,9,1,93.2,86.2,83.6,99.5,76.0,95.7
S2313,Leo,Patel,9,3,91.5,79.0,86.2,86.1,66.4,82.6
S2314,Mila,Nguyen,10,6,70.3,74.8,61.2,55.7,60.8,94.3
S2315,Lukas,Svoboda,11,5,79.9,100.0,100.0,100.0,100.0,100.0
S2316,Hannah,Wilson,11,6,59.9,65.2,69.6,90.1,73.6,89.3
S2317,Sofia,Novak,9,4,81.9,62.0,81.4,55.9,62.4,88.7
S2318,Daniel,Anderson,10,5,89.6,83.6,88.3,88.6,86.6,94.3
S2319,Maya,Patel,12,4,83.1,86.3,83.5,73.7,98.9,86.9
S2320,Aria,Dvorak,12,4,81.7,100.0,92.0,100.0,88.2,97.1
S2321,Owen,Harris,11,1,97.8,75.2,75.0,76.4,88.1,88.8
S2322,Mateo,Lewis,10,1,64.4,57.8,69.4,81.8,73.4,97.1
S2323,Jack,Chen,12,1,87.2,81.8,95.6,87.8,88.2,100.0
S2324,Elena,Martinez,9,4,62.1,74.6,62.4,59.9,59.4,80.1
S2325,Jonas,Young,10,6,65.9,47.8,50.0,54.8,59.1,96.4
S2326,Ruby,Walker,10,3,81.4,76.3,79.0,80.7,64.8,90.5
S2327,Zara,Wilson,11,6,81.4,72.1,62.0,76.3,71.1,93.7
S2328,James,Hall,11,6,87.5,83.9,80.3,92.0,72.5,86.5
S2329,Oliver,Garcia,12,1,83.6,78.9,89.0,81.9,81.9,97.6
S2330,Daniel,White,9,6,78.0,69.3,81.0,75.5,68.1,88.4
S2331,Theo,Anderson,12,2,46.5,63.0,58.6,49.9,63.3,90.4
S2332,Grace,Harris,9,1,67.5,71.8,79.3,72.2,67.5,99.7
S2333,Lily,Rodriguez,10,6,97.3,89.1,92.8,84.9,87.4,96.3
S2334,Mila,Lewis,11,2,90.6,95.1,95.2,100.0,92.3,98.6
S2335,Leo,Johnson,11,4,86.6,62.2,76.8,69.2,77.4,100.0
S2336,Ruby,Lewis,12,1,58.1,61.8,87.0,70.6,63.0,90.7
S2337,Ella,Nguyen,9,1,66.2,57.1,56.4,68.7,63.4,98.7
S2338,Noah,Dvorak,11,5,76.3,68.9,75.3,73.5,76.6,84.5
S2339,Lily,Lewis,9,1,92.7,100.0,100.0,100.0,84.6,92.4
S2340,Aria,Martin,9,2,58.0,49.1,45.2,62.3,55.5,100.0
